"CustomerID","FirstName","MiddleName","LastName","BirthDate","MaritalStatus","YearlyIncome","Gender","TotalChildren","NumberChildrenAtHome","Education","Occupation","HomeOwner","CommuteDistance","NumberOfPurchases","ProfitGenerated"
11146,"Karla","L","Goel","1939-08-26 00:00:00","S","25001-50000","F",2,0,"Bachelors ","Management","True","5-10 Miles",2,16065.7719
11147,"Ernest","L","Wu","1939-02-05 00:00:00","M","50001-75000","M",2,0,"Graduate Degree","Management","True","0-1 Miles",1,11214.6834
11149,"Theodore",,"Gill","1941-04-20 00:00:00","M","25001-50000","M",2,0,"Bachelors ","Management","True","0-1 Miles",3,9254.8845
11150,"Russell","M","Shen","1941-03-15 00:00:00","S","25001-50000","M",2,0,"Bachelors ","Management","True","5-10 Miles",3,20865.4983
11151,"Melinda","G","Gill","1942-02-25 00:00:00","S","50001-75000","F",2,0,"Graduate Degree","Management","False","0-1 Miles",1,9017.3112
11153,"Angela","R","James","1976-06-23 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",2,9000.4817
11154,"Megan","G","Walker","1976-08-21 00:00:00","S","25001-50000","F",0,0,"Partial College","Skilled Manual","True","5-10 Miles",1,12758.3676
11155,"Hunter","J","Robinson","1976-01-26 00:00:00","S","25001-50000","M",0,0,"Partial College","Skilled Manual","False","1-2 Miles",1,8420.1254
11156,"Maria",,"Roberts","1976-02-07 00:00:00","S","25001-50000","F",0,0,"Partial College","Skilled Manual","False","1-2 Miles",1,6518.6866
11157,"Hannah","E","Long","1975-06-11 00:00:00","M","25001-50000","F",0,0,"High School","Skilled Manual","True","5-10 Miles",2,8898.5298
11158,"Jason","K","Wright","1975-10-08 00:00:00","S","25001-50000","M",0,0,"High School","Skilled Manual","True","5-10 Miles",2,14508.6615
11162,"Chase",,"Cox","1974-03-05 00:00:00","S","25001-50000","M",0,0,"Partial College","Skilled Manual","True","5-10 Miles",1,16609.1009
11163,"Gabriel",,"Wang","1974-12-20 00:00:00","M","25001-50000","M",0,0,"Partial College","Skilled Manual","True","5-10 Miles",1,13211.7561
11164,"Devin",,"Brooks","1974-05-05 00:00:00","S","25001-50000","M",0,0,"Partial College","Skilled Manual","False","1-2 Miles",1,8384.3398
11166,"Ashley",,"Martinez","1972-04-24 00:00:00","S","50001-75000","F",0,0,"Partial College","Skilled Manual","False","0-1 Miles",2,8277.0832
11168,"David",,"Rodriguez","1968-05-15 00:00:00","S","75001-100000","M",0,0,"Bachelors ","Management","False","0-1 Miles",1,22920.9628
11170,"Carol","T","Howard","1968-02-05 00:00:00","M","75001-100000","F",4,4,"Bachelors ","Management","True","0-1 Miles",1,9734.5175
11172,"Gabrielle","J","Adams","1967-11-21 00:00:00","M","75001-100000","F",1,0,"Bachelors ","Management","True","1-2 Miles",2,14800.7743
11173,"Sarah","F","Thomas","1967-09-01 00:00:00","S","greater than 100000","F",0,0,"Graduate Degree","Management","False","0-1 Miles",5,21224.6107
11175,"Luis",,"Wang","1963-03-05 00:00:00","S","50001-75000","M",0,0,"Partial College","Skilled Manual","True","5-10 Miles",2,23243.9434
11177,"Jose","M","Flores","1942-07-04 00:00:00","M","greater than 100000","M",2,2,"Graduate Degree","Management","True","5-10 Miles",2,31545.8212
11178,"Nathan","J","Johnson","1943-08-24 00:00:00","M","75001-100000","M",2,4,"Graduate Degree","Management","True","1-2 Miles",3,13804.2681
11179,"Molly","E","Rodriguez","1943-06-14 00:00:00","M","greater than 100000","F",2,2,"Graduate Degree","Management","True","5-10 Miles",3,24169.0166
11180,"April",,"Anand","1943-01-02 00:00:00","M","greater than 100000","F",1,1,"Bachelors ","Management","True","0-1 Miles",4,17005.2185
11181,"Devin","P","Martin","1943-08-08 00:00:00","M","greater than 100000","M",2,2,"Graduate Degree","Management","True","0-1 Miles",6,17512.698
11187,"Jennifer","S","Cooper","1944-02-22 00:00:00","M","50001-75000","F",4,0,"Graduate Degree","Management","True","10+ Miles",2,15167.0462
11188,"Catherine",,"Morris","1944-09-06 00:00:00","M","50001-75000","F",4,0,"Graduate Degree","Management","False","1-2 Miles",2,7006.0057
11189,"Lawrence","W","Blanco","1944-07-15 00:00:00","S","50001-75000","M",4,0,"Graduate Degree","Management","True","10+ Miles",2,24572.2203
11191,"Kristi","E","Perez","1945-12-18 00:00:00","S","50001-75000","F",5,0,"Bachelors ","Management","True","10+ Miles",3,20275.224
11194,"Jacqueline","R","Price","1945-06-10 00:00:00","M","50001-75000","F",4,0,"Bachelors ","Management","True","2-5 Miles",2,11392.3037
11195,"Megan",,"Henderson","1946-02-10 00:00:00","M","50001-75000","F",5,0,"Bachelors ","Management","True","10+ Miles",3,16167.6004
11196,"Alfredo",,"Romero","1946-06-07 00:00:00","M","50001-75000","M",5,0,"Bachelors ","Management","True","10+ Miles",3,21036.64
11197,"Andrea",,"Morris","1946-06-18 00:00:00","M","50001-75000","F",3,1,"Bachelors ","Management","False","1-2 Miles",1,7756.1251
11198,"Brooke",,"Sanders","1946-11-26 00:00:00","S","50001-75000","F",4,1,"Bachelors ","Management","True","10+ Miles",1,19840.9466
11199,"Jacqueline",,"Bennett","1946-11-06 00:00:00","M","50001-75000","F",4,1,"Bachelors ","Management","True","10+ Miles",1,15935.5285
11200,"Jason","L","Griffin","1947-11-22 00:00:00","M","50001-75000","M",4,1,"Bachelors ","Management","True","1-2 Miles",1,11378.9718
11202,"Alexia","L","Price","1947-08-26 00:00:00","M","75001-100000","F",5,0,"Bachelors ","Management","False","1-2 Miles",2,9063.2742
11203,"Luis","D","Diaz","1948-08-21 00:00:00","M","25001-50000","M",2,1,"High School","Professional","True","10+ Miles",2,9809.4997
11204,"Destiny","C","Rivera","1948-06-01 00:00:00","M","25001-50000","F",2,1,"High School","Professional","True","2-5 Miles",3,4904.9395
11206,"Blake",,"Flores","1948-09-24 00:00:00","M","50001-75000","M",2,1,"Partial College","Professional","True","10+ Miles",1,15702.8387
11210,"Edward","J","Wood","1948-06-08 00:00:00","M","50001-75000","M",4,1,"Partial College","Professional","True","10+ Miles",2,13806.8706
11211,"Samantha",,"Russell","1949-10-12 00:00:00","M","25001-50000","F",2,1,"High School","Professional","True","2-5 Miles",3,4928.2773
11212,"Chloe",,"Campbell","1949-11-05 00:00:00","M","25001-50000","F",2,1,"High School","Professional","True","2-5 Miles",2,4941.17
11213,"Stephanie","B","Murphy","1949-05-14 00:00:00","S","50001-75000","F",2,1,"Partial College","Professional","True","10+ Miles",2,15108.8645
11215,"Ana",,"Perry","1950-06-21 00:00:00","M","25001-50000","F",2,1,"Partial High School","Skilled Manual","True","10+ Miles",2,6189.8805
11216,"Jasmine","A","Torres","1950-05-20 00:00:00","S","50001-75000","F",2,1,"Partial College","Professional","True","10+ Miles",2,15175.6618
11217,"Natalie","P","Adams","1950-02-11 00:00:00","S","50001-75000","F",2,1,"Partial College","Professional","True","10+ Miles",2,15160.4678
11219,"Charles",,"Cook","1950-12-02 00:00:00","M","50001-75000","M",2,1,"High School","Professional","True","10+ Miles",2,13735.718
11221,"Nathan",,"Perry","1950-06-10 00:00:00","M","50001-75000","M",4,2,"Partial College","Professional","True","1-2 Miles",1,7498.2744
11223,"Hailey","I","Patterson","1951-09-16 00:00:00","S","50001-75000","F",2,1,"High School","Professional","True","2-5 Miles",2,8568.3118
11224,"Tiffany","J","Li","1951-09-06 00:00:00","S","50001-75000","F",2,1,"High School","Professional","True","10+ Miles",2,13150.4341
11225,"Madison","D","Lee","1951-02-16 00:00:00","M","50001-75000","F",2,1,"Partial College","Professional","True","10+ Miles",1,12092.3706
11231,"Dennis",,"Zhang","1952-11-14 00:00:00","M","50001-75000","M",2,1,"High School","Professional","True","10+ Miles",2,13817.5183
11232,"Hailey","R","Bryant","1952-09-27 00:00:00","M","50001-75000","F",3,1,"High School","Professional","False","2-5 Miles",2,5361.3985
11234,"Anna",,"Griffin","1952-11-19 00:00:00","S","50001-75000","F",4,2,"Partial College","Professional","True","10+ Miles",2,13214.0971
11235,"Angel","J","Stewart","1952-02-08 00:00:00","M","50001-75000","M",4,2,"Partial College","Professional","True","10+ Miles",2,13712.7643
11236,"Jeremy",,"Butler","1952-03-05 00:00:00","S","50001-75000","M",5,2,"Partial College","Professional","True","10+ Miles",2,15957.3234
11237,"Clarence","M","Anand","1958-09-23 00:00:00","S","greater than 100000","M",2,4,"Bachelors ","Management","False","0-1 Miles",4,21045.7806
11238,"Mayra",,"Prasad","1958-08-10 00:00:00","S","greater than 100000","F",2,2,"Bachelors ","Management","False","0-1 Miles",4,16219.2068
11239,"Latoya","C","Goel","1958-10-06 00:00:00","M","greater than 100000","F",2,2,"Partial College","Professional","False","5-10 Miles",2,15577.3547
11240,"Anne","B","Hernandez","1958-12-11 00:00:00","M","greater than 100000","F",,2,"Partial College","Professional","True","5-10 Miles",4,18683.9815
11241,"Lisa",,"Cai","1957-10-11 00:00:00","S","75001-100000","F",2,2,"Partial College","Professional","True","5-10 Miles",4,16742.2472
11242,"Larry",,"Munoz","1957-11-11 00:00:00","M","greater than 100000","M",2,4,"Partial College","Professional","True","5-10 Miles",3,24294.4839
11244,"Alexis","M","Coleman","1957-11-26 00:00:00","S","greater than 100000","F",2,2,"Bachelors ","Management","False","0-1 Miles",3,16257.5037
11245,"Ricky","D","Vazquez","1956-10-27 00:00:00","M","greater than 100000","M",3,4,"High School","Professional","False","5-10 Miles",5,16597.4668
11246,"Latasha",,"Rubio","1956-10-09 00:00:00","M","greater than 100000","F",3,3,"High School","Professional","False","5-10 Miles",5,12723.6043
11247,"Claudia","M","Zhou","1956-06-06 00:00:00","S","greater than 100000","F",3,3,"Partial College","Professional","False","0-1 Miles",3,10063.4438
11248,"Tristan","P","Alexander","1955-03-26 00:00:00","M","greater than 100000","M",3,3,"Partial College","Professional","True","10+ Miles",6,25309.6592
11249,"Cindy","A","Patel","1955-07-13 00:00:00","M","greater than 100000","F",3,3,"Partial College","Professional","True","0-1 Miles",3,9650.1985
11250,"Shannon","D","Liu","1955-03-12 00:00:00","M","greater than 100000","F",3,3,"High School","Professional","True","5-10 Miles",2,15337.8939
11251,"Xavier",,"Long","1932-07-04 00:00:00","S","25001-50000","M",4,0,"High School","Professional","False","5-10 Miles",2,8832.6379
11253,"Jos�","M","Hernandez","1933-02-28 00:00:00","M","50001-75000","M",2,0,"Graduate Degree","Management","True","1-2 Miles",2,12378.4416
11256,"Katelyn","L","Hernandez","1933-09-20 00:00:00","M","50001-75000","F",4,0,"Graduate Degree","Management","True","5-10 Miles",2,13571.3723
11257,"Jacqueline",,"Powell","1933-01-06 00:00:00","S","greater than 100000","F",1,1,"Graduate Degree","Management","True","2-5 Miles",4,23917.3014
11258,"Xavier",,"Hill","1933-06-28 00:00:00","M","greater than 100000","M",1,1,"Graduate Degree","Management","True","2-5 Miles",4,24999.7744
11259,"Victoria","C","Stewart","1965-03-27 00:00:00","M","75001-100000","F",,1,"Partial College","Professional","True","2-5 Miles",4,8422.4014
11260,"Katelyn","L","Kelly","1965-04-12 00:00:00","M","greater than 100000","F",2,2,"Bachelors ","Management","True","2-5 Miles",3,20232.5898
11263,"Trinity",,"Richardson","1964-09-11 00:00:00","M","75001-100000","F",5,5,"Partial College","Professional","True","2-5 Miles",3,7886.5755
11264,"Eduardo",,"Martin","1964-06-17 00:00:00","S","75001-100000","M",5,5,"Partial College","Professional","False","0-1 Miles",3,8189.7556
11265,"Elizabeth","P","Jones","1964-07-13 00:00:00","M","75001-100000","F",5,5,"Partial College","Professional","True","0-1 Miles",3,6030.7569
11267,"David",,"Diaz","1964-10-02 00:00:00","S","greater than 100000","M",4,2,"Partial College","Professional","True","2-5 Miles",4,19139.0755
11268,"Katelyn","A","Carter","1964-05-03 00:00:00","M","greater than 100000","F",2,2,"Graduate Degree","Management","True","1-2 Miles",2,14773.7164
11270,"Robert","L","Lee","1964-05-04 00:00:00","M","greater than 100000","M",2,2,"Graduate Degree","Management","True","0-1 Miles",3,17561.1293
11271,"Danielle","C","Reed","1964-06-05 00:00:00","S","greater than 100000","F",2,0,"Bachelors ","Management","False","1-2 Miles",4,19588.488
11274,"Kyle","M","Foster","1934-04-12 00:00:00","M","25001-50000","M",2,0,"Graduate Degree","Management","True","5-10 Miles",2,14425.2691
11275,"Jenny","D","Rai","1934-01-18 00:00:00","M","75001-100000","F",4,0,"Graduate Degree","Management","True","0-1 Miles",2,9376.074
11276,"Nancy","E","Chapman","1963-09-19 00:00:00","M","75001-100000","F",4,3,"Partial College","Professional","True","2-5 Miles",2,8430.2428
11278,"Jonathan",,"Phillips","1963-08-20 00:00:00","S","75001-100000","M",0,0,"Partial College","Professional","False","10+ Miles",1,30393.0989
11281,"Megan","J","Barnes","1963-10-10 00:00:00","S","greater than 100000","F",4,2,"Bachelors ","Management","True","5-10 Miles",5,30651.1355
11282,"Christian","A","Thomas","1962-01-16 00:00:00","M","75001-100000","M",5,4,"Partial College","Professional","True","1-2 Miles",4,8680.3302
11284,"Theresa",,"Serrano","1962-03-27 00:00:00","M","greater than 100000","F",1,1,"Bachelors ","Management","True","1-2 Miles",2,18752.6299
11285,"Jeremy","J","Anderson","1962-03-19 00:00:00","M","greater than 100000","M",1,2,"Partial College","Professional","False","2-5 Miles",4,16000.3927
11286,"Hunter","D","Griffin","1962-03-03 00:00:00","M","greater than 100000","M",0,0,"Graduate Degree","Management","True","2-5 Miles",4,34413.5906
11287,"Henry","B","Garcia","1961-01-16 00:00:00","M","50001-75000","M",5,4,"Partial College","Professional","False","5-10 Miles",3,9566.6026
11288,"Cindy","K","Sanchez","1961-09-16 00:00:00","M","greater than 100000","F",1,2,"Bachelors ","Management","True","2-5 Miles",3,22087.0809
11289,"Maria","S","Carter","1961-03-07 00:00:00","M","greater than 100000","F",1,1,"Bachelors ","Management","True","0-1 Miles",1,17011.4186
11290,"Katelyn",,"Sanchez","1961-08-18 00:00:00","M","greater than 100000","F",1,1,"Bachelors ","Management","True","2-5 Miles",3,22188.3156
11291,"Jenna",,"Wright","1961-05-05 00:00:00","M","greater than 100000","F",1,1,"Bachelors ","Management","True","2-5 Miles",3,22134.8518
11292,"Seth",,"Phillips","1961-11-05 00:00:00","S","greater than 100000","M",1,1,"Partial College","Professional","False","0-1 Miles",3,15359.82
11294,"Dalton","P","Clark","1955-09-03 00:00:00","M","50001-75000","M",2,0,"High School","Professional","False","1-2 Miles",2,6987.603
11295,"Taylor","G","Lewis","1954-05-16 00:00:00","S","75001-100000","F",2,0,"Partial High School","Skilled Manual","True","5-10 Miles",2,13253.9396
